"","set","mean_depth","yelloweye_catch","bocaccio_catch","bait","lure","effort_sec","date","month","start_time","end_time","avg_anglers","Site","basin","survey","angler_hours"
"168","PW_76_063_Q82",8.941176,0,0,"no bait","Artificial Lure",5700,1976-05-06,5,07:35:00,09:10:00,3,"Q82","Central Sound","Percy_Washington",4.75
"169","PW_76_064_P81",13.8,0,0,"no bait","Artificial Lure",1800,1976-05-06,5,09:15:00,09:45:00,3,"P81","Central Sound","Percy_Washington",1.5
"170","PW_76_065_P83",23.184209,0,0,"no bait","Artificial Lure",10200,1976-05-06,5,09:50:00,12:40:00,3,"P83","Central Sound","Percy_Washington",8.5
"171","PW_76_066_N85",12,0,0,"no bait","Artificial Lure",1500,1976-05-06,5,12:45:00,13:10:00,3,"N85","Central Sound","Percy_Washington",1.25
"172","PW_76_067_O85",0.142951444,0,0,"no bait","Artificial Lure",1500,1976-05-06,5,13:15:00,13:40:00,3,"O85","Central Sound","Percy_Washington",1.25
"173","PW_76_068_N86",18.72093,0,0,"no bait","Artificial Lure",12900,1976-05-07,5,08:40:00,12:15:00,3,"N86","Central Sound","Percy_Washington",10.75
"174","PW_76_069_N86",18.72093,0,0,"no bait","Artificial Lure",4800,1976-05-07,5,12:25:00,13:45:00,3,"N86","Central Sound","Percy_Washington",4
"175","PW_76_070_H66",16.799999,0,0,"no bait","Artificial Lure",13200,1976-05-18,5,12:00:00,15:40:00,3,"H66","Central Sound","Percy_Washington",11
"176","PW_76_071_M86",26.421052,0,0,"no bait","Artificial Lure",6300,1976-05-19,5,07:30:00,09:15:00,3,"M86","Central Sound","Percy_Washington",5.25
"177","PW_76_072_N86",18.72093,0,0,"no bait","Artificial Lure",6000,1976-05-19,5,09:15:00,10:55:00,3,"N86","Central Sound","Percy_Washington",5
"178","PW_76_073_L86",54.386363,0,0,"no bait","Artificial Lure",9420,1976-05-19,5,10:58:00,13:35:00,3,"L86","Central Sound","Percy_Washington",7.85
"179","PW_76_074_I87",65.324325,0,0,"no bait","Artificial Lure",3300,1976-05-25,5,10:20:00,11:15:00,2,"I87","Central Sound","Percy_Washington",1.83333333333333
"180","PW_76_075_H89",0.333333,0,0,"no bait","Artificial Lure",9780,1976-05-25,5,11:17:00,14:00:00,2,"H89","Central Sound","Percy_Washington",5.43333333333333
"181","PW_76_076_I66",1.844444,0,0,"no bait","Artificial Lure",13500,1976-05-28,5,11:05:00,14:50:00,3,"I66","Central Sound","Percy_Washington",11.25
"182","PW_76_077_I66",1.844444,0,0,"no bait","Artificial Lure",2700,1976-05-31,5,13:25:00,14:10:00,3,"I66","Central Sound","Percy_Washington",2.25
"183","PW_76_078_F70",28.833333,0,0,"no bait","Artificial Lure",2400,1976-05-31,5,14:20:00,15:00:00,3,"F70","Central Sound","Percy_Washington",2
"184","PW_76_079_F60",99.744186,0,0,"no bait","Artificial Lure",4500,1976-06-03,6,09:15:00,10:30:00,3,"F60","Whidbey Island","Percy_Washington",3.75
"185","PW_76_080_G57",60.529411,0,0,"no bait","Artificial Lure",2400,1976-06-03,6,10:40:00,11:20:00,3,"G57","Whidbey Island","Percy_Washington",2
"186","PW_76_081_H66",16.799999,0,0,"no bait","Artificial Lure",2700,1976-06-03,6,12:00:00,12:45:00,2,"H66","Central Sound","Percy_Washington",1.5
"187","PW_76_082_I66",1.844444,0,0,"no bait","Artificial Lure",7200,1976-06-03,6,13:00:00,15:00:00,3,"I66","Central Sound","Percy_Washington",6
"188","PW_76_083_P63",103.453125,0,0,"no bait","Artificial Lure",3900,1976-06-04,6,07:45:00,08:50:00,4,"P63","Central Sound","Percy_Washington",4.33333333333333
"189","PW_76_084_S64",18.979591,0,0,"no bait","Artificial Lure",6000,1976-06-04,6,09:10:00,10:50:00,4,"S64","Hood Canal","Percy_Washington",6.66666666666667
"190","PW_76_085_S63",53.44643,0,0,"no bait","Artificial Lure",4800,1976-06-04,6,10:55:00,12:15:00,3,"S63","Central Sound","Percy_Washington",4
"191","PW_76_086_S63",53.44643,0,0,"no bait","Artificial Lure",6780,1976-06-04,6,12:17:00,14:10:00,3,"S63","Central Sound","Percy_Washington",5.65
"192","PW_76_087_S65",12.486486,0,0,"no bait","Artificial Lure",3600,1976-06-05,6,08:20:00,09:20:00,2,"S65","Hood Canal","Percy_Washington",2
"193","PW_76_088_Y80",88.64151,2,0,"no bait","Artificial Lure",5700,1976-06-05,6,10:45:00,12:20:00,3,"Y80","Hood Canal","Percy_Washington",4.75
"194","PW_76_089_X79",31.357143,0,0,"no bait","Artificial Lure",7500,1976-06-05,6,12:30:00,14:35:00,3,"X79","Hood Canal","Percy_Washington",6.25
"195","PW_76_091_F67",97.823532,0,0,"Herring","Hook only",5100,1976-06-08,6,16:30:00,17:55:00,3,"F67","Whidbey Island","Percy_Washington",4.25
"196","PW_76_092_U54",13.632653,0,0,"no bait","Artificial Lure",5100,1976-06-09,6,12:50:00,14:15:00,3,"U54","Central Sound","Percy_Washington",4.25
"197","PW_76_093_M96",32,0,0,"no bait","Artificial Lure",1800,1976-06-10,6,15:00:00,15:30:00,3,"M96","Central Sound","Percy_Washington",1.5
"198","PW_76_094_J66",9.5,0,0,"no bait","Artificial Lure",13800,1976-06-10,6,11:45:00,15:35:00,3,"J66","Central Sound","Percy_Washington",11.5
"199","PW_76_095_H66",16.799999,0,0,"no bait","Artificial Lure",4500,1976-06-10,6,15:45:00,17:00:00,3,"H66","Central Sound","Percy_Washington",3.75
"200","PW_76_096_H66",16.799999,0,0,"no bait","Artificial Lure",9300,1976-06-17,6,18:55:00,21:30:00,4,"H66","Central Sound","Percy_Washington",10.3333333333333
"201","PW_76_097_H66",16.799999,0,0,"no bait","Artificial Lure",3900,1976-06-18,6,08:45:00,09:50:00,3,"H66","Central Sound","Percy_Washington",3.25
"202","PW_76_098_H66",16.799999,0,0,"no bait","Artificial Lure",2400,1976-06-18,6,10:00:00,10:40:00,3,"H66","Central Sound","Percy_Washington",2
"203","PW_76_099_H66",16.799999,0,0,"no bait","Artificial Lure",2400,1976-06-18,6,10:50:00,11:30:00,3,"H66","Central Sound","Percy_Washington",2
"204","PW_76_100_H66",16.799999,1,0,"no bait","Artificial Lure",4200,1976-06-22,6,15:30:00,16:40:00,3,"H66","Central Sound","Percy_Washington",3.5
"205","PW_76_101_H66",16.799999,0,0,"no bait","Artificial Lure",2700,1976-06-02,6,16:45:00,17:30:00,3,"H66","Central Sound","Percy_Washington",2.25
"206","PW_76_103_H66",16.799999,0,0,"no bait","Artificial Lure",6300,1976-06-30,6,11:45:00,13:30:00,4,"H66","Central Sound","Percy_Washington",7
"207","PW_76_104_P81",13.8,0,0,"no bait","Artificial Lure",1800,1976-05-06,5,09:15:00,09:45:00,3,"P81","Central Sound","Percy_Washington",1.5
"208","PW_76_105_H90",34.285713,0,0,"no bait","Artificial Lure",5400,1976-07-28,7,12:50:00,14:20:00,2,"H90","Central Sound","Percy_Washington",3
"209","PW_76_107_M78",50.836734,0,0,"Herring","Hook only",5700,1976-08-12,8,11:25:00,13:00:00,2,"M78","Central Sound","Percy_Washington",3.16666666666667
"210","PW_76_108_M78",50.836734,0,0,"Herring","Hook only",1800,1976-08-12,8,13:10:00,13:40:00,2,"M78","Central Sound","Percy_Washington",1
"211","PW_76_109_N78",16.641025,0,0,"Herring","Hook only",5100,1976-08-12,8,13:10:00,14:35:00,2,"N78","Central Sound","Percy_Washington",2.83333333333333
"212","PW_76_109_N78",16.641025,0,0,"Herring","Hook only",5100,1976-08-12,8,14:00:00,14:35:00,2,"N78","Central Sound","Percy_Washington",2.83333333333333
"213","PW_76_110_F60",99.744186,0,0,"no bait","Artificial Lure",14700,1976-08-17,8,14:00:00,16:45:00,3,"F60","Whidbey Island","Percy_Washington",12.25
"214","PW_76_110_F60",99.744186,0,0,"no bait","Artificial Lure",14700,1976-08-17,8,12:40:00,16:45:00,3,"F60","Whidbey Island","Percy_Washington",12.25
"215","PW_76_111_L78",153.946426,1,0,"Herring","Artificial Lure",15300,1976-08-19,8,07:45:00,12:00:00,3,"L78","Central Sound","Percy_Washington",12.75
"216","PW_76_112_G66",164.387756,0,0,"no bait","Artificial Lure",7800,1976-08-24,8,12:00:00,14:10:00,3,"G66","Central Sound","Percy_Washington",6.5
"217","PW_76_114_G66",164.387756,0,0,"no bait","Artificial Lure",7800,1976-08-25,8,10:50:00,13:00:00,3,"G66","Central Sound","Percy_Washington",6.5
"218","PW_76_115_G66",164.387756,0,0,"no bait","Artificial Lure",9000,1976-08-26,8,11:30:00,14:00:00,3,"G66","Central Sound","Percy_Washington",7.5
"219","PW_76_116_G66",164.387756,0,0,"no bait","Artificial Lure",9000,1976-08-31,8,08:00:00,10:30:00,3,"G66","Central Sound","Percy_Washington",7.5
"220","PW_76_117_G66",164.387756,0,0,"no bait","Artificial Lure",2700,1976-08-31,8,11:30:00,12:15:00,3,"G66","Central Sound","Percy_Washington",2.25
"221","PW_76_118_E65",79.652175,0,0,"Herring","Hook only",3300,1976-08-31,8,12:25:00,13:20:00,3,"E65","Whidbey Island","Percy_Washington",2.75
"222","PW_76_119_H65",1.416666,0,0,"Herring","Artificial Lure",4200,1976-08-31,8,13:30:00,14:40:00,3,"H65","Central Sound","Percy_Washington",3.5
"223","PW_76_120_H65",1.416666,0,0,"no bait","Artificial Lure",7200,1976-09-03,9,08:00:00,10:00:00,2,"H65","Central Sound","Percy_Washington",4
"224","PW_76_121_H65",1.416666,0,0,"no bait","Artificial Lure",9000,1976-09-03,9,10:10:00,12:40:00,2,"H65","Central Sound","Percy_Washington",5
"225","PW_76_122_L89",42.707317,0,0,"no bait","Artificial Lure",7200,1976-09-09,9,08:00:00,10:00:00,2,"L89","Central Sound","Percy_Washington",4
"226","PW_76_123_P82",21.945945,0,0,"no bait","Artificial Lure",3600,1976-09-20,9,12:15:00,13:15:00,2,"P82","Central Sound","Percy_Washington",2
"227","PW_76_125_P81",13.8,0,0,"no bait","Artificial Lure",2700,1976-09-20,9,13:50:00,14:35:00,2,"P81","Central Sound","Percy_Washington",1.5
"228","PW_76_126_L86",54.386363,0,0,"Herring","Artificial Lure",1800,1976-09-20,9,15:50:00,16:20:00,2,"L86","Central Sound","Percy_Washington",1
"229","PW_76_130_M91",69.472221,0,0,"no bait","Artificial Lure",3600,1976-10-05,10,12:30:00,13:30:00,2,"M91","Central Sound","Percy_Washington",2
"230","PW_76_131_J66",9.5,0,0,"no bait","Artificial Lure",8100,1976-10-29,10,12:15:00,14:30:00,2,"J66","Central Sound","Percy_Washington",4.5
"231","PW_76_132_G66",164.387756,0,0,"no bait","Artificial Lure",8700,1976-10-29,10,14:35:00,17:00:00,2,"G66","Central Sound","Percy_Washington",4.83333333333333
"232","PW_76_134_L83",10.27217865,0,0,"no bait","Artificial Lure",2700,1976-11-12,11,10:15:00,11:00:00,5,"L83","Central Sound","Percy_Washington",3.75
"233","PW_76_135_P83",23.184209,0,0,"no bait","Artificial Lure",3600,1976-11-12,11,14:00:00,15:00:00,5,"P83","Central Sound","Percy_Washington",5
"234","PW_76_138_L90",53.269853,0,0,"no bait","Artificial Lure",3600,1976-11-18,11,14:00:00,15:00:00,3,"L90","Central Sound","Percy_Washington",3
"235","PW_76_139_L90",59.176471,0,0,"no bait","Artificial Lure",11400,1976-11-28,11,13:10:00,16:20:00,3,"L90","Central Sound","Percy_Washington",9.5
"236","PW_76_140_L90",59.176471,0,0,"no bait","Artificial Lure",4800,1976-12-02,12,12:00:00,13:20:00,3,"L90","Central Sound","Percy_Washington",4
"237","PW_76_141_M92",71.083335,0,0,"no bait","Artificial Lure",3600,1976-12-02,12,13:25:00,14:25:00,3,"M92","Central Sound","Percy_Washington",3
"238","PW_76_142_K86",210.107147,0,0,"Herring","Hook only",1800,1976-12-02,12,15:30:00,16:00:00,3,"K86","Central Sound","Percy_Washington",1.5
"239","PW_76_143_P81",13.8,0,0,"no bait","Artificial Lure",1800,1976-12-18,12,10:15:00,10:45:00,2,"P81","Central Sound","Percy_Washington",1
"240","PW_76_144_H90",34.285713,0,0,"no bait","Artificial Lure",5400,1976-12-21,12,08:30:00,10:00:00,2,"H90","Central Sound","Percy_Washington",3
"241","PW_76_145_H91",106.690475,0,0,"no bait","Artificial Lure",600,1976-12-21,12,10:10:00,10:20:00,2,"H91","Central Sound","Percy_Washington",0.333333333333333
"242","PW_76_146_H92",172.245285,0,0,"no bait","Artificial Lure",3300,1976-12-21,12,10:25:00,11:20:00,2,"H92","Central Sound","Percy_Washington",1.83333333333333
"243","PW_76_147_F85",18.166666,0,0,"no bait","Artificial Lure",3000,1976-12-27,12,11:10:00,12:00:00,3,"F85","Central Sound","Percy_Washington",2.5
"244","PW_76_148_G84",65.045455,0,0,"no bait","Artificial Lure",3000,1976-12-27,12,12:10:00,13:00:00,3,"G84","Central Sound","Percy_Washington",2.5
"245","PW_76_150_H85",56.358974,0,0,"no bait","Artificial Lure",2100,1976-12-27,12,13:10:00,13:45:00,3,"H85","Central Sound","Percy_Washington",1.75
"246","PW_76_150_H89",0.333333,0,0,"no bait","Artificial Lure",3600,1976-12-27,12,14:00:00,15:00:00,3,"H89","Central Sound","Percy_Washington",3
"247","PW_76_151_L90",59.176471,0,0,"no bait","Artificial Lure",4500,1976-12-29,12,13:15:00,14:30:00,3,"L90","Central Sound","Percy_Washington",3.75
"248","PW_76_152_L92",10.307692,0,0,"no bait","Artificial Lure",2400,1976-12-29,12,14:35:00,15:15:00,3,"L92","Central Sound","Percy_Washington",2
"249","PW_76_154_H90",34.285713,0,0,"no bait","Artificial Lure",1500,1976-12-29,12,16:00:00,16:25:00,3,"H90","Central Sound","Percy_Washington",1.25
"250","PW_76_803_H89",0.333333,0,0,"no bait","Artificial Lure",3600,1976-12-05,12,14:00:00,15:00:00,2,"H89","Central Sound","Percy_Washington",2
"251","PW_77_001_L79",175.214279,0,0,"no bait","Artificial Lure",8400,1977-01-05,1,09:40:00,12:00:00,3,"L79","Central Sound","Percy_Washington",7
"252","PW_77_002_L85",46.274509,0,0,"no bait","Artificial Lure",2700,1977-01-05,1,12:00:00,12:45:00,3,"L85","Central Sound","Percy_Washington",2.25
"253","PW_77_003_M86",26.421052,0,0,"no bait","Artificial Lure",1800,1977-01-05,1,14:30:00,15:00:00,3,"M86","Central Sound","Percy_Washington",1.5
"254","PW_77_004_L78",153.946426,3,0,"no bait","Artificial Lure",15300,1977-01-06,1,12:05:00,16:20:00,2,"L78","Central Sound","Percy_Washington",8.5
"255","PW_77_005_G83",16.5,0,0,"no bait","Artificial Lure",6000,1977-01-12,1,11:10:00,12:50:00,2,"G83","Central Sound","Percy_Washington",3.33333333333333
"256","PW_77_006_H85",56.358974,0,0,"no bait","Artificial Lure",900,1977-01-12,1,12:50:00,13:05:00,2,"H85","Central Sound","Percy_Washington",0.5
"257","PW_77_007_F85",18.166666,0,0,"no bait","Artificial Lure",1200,1977-01-12,1,13:40:00,14:00:00,2,"F85","Central Sound","Percy_Washington",0.666666666666667
"258","PW_77_008_H78",61.729728,0,0,"no bait","Artificial Lure",1800,1977-01-14,1,10:15:00,10:45:00,4,"H78","Central Sound","Percy_Washington",2
"259","PW_77_009_G66",164.387756,0,0,"no bait","Artificial Lure",7500,1977-01-14,1,11:35:00,13:40:00,4,"G66","Central Sound","Percy_Washington",8.33333333333333
"260","PW_77_010_L90",59.176471,0,0,"no bait","Artificial Lure",7200,1977-01-19,1,09:05:00,11:05:00,3,"L90","Central Sound","Percy_Washington",6
"261","PW_77_012_M92",71.083335,0,0,"no bait","Artificial Lure",3300,1977-01-19,1,11:45:00,12:40:00,3,"M92","Central Sound","Percy_Washington",2.75
"262","PW_77_014_N85",12,0,0,"no bait","Artificial Lure",3000,1977-01-25,1,12:25:00,13:15:00,2,"N85","Central Sound","Percy_Washington",1.66666666666667
"263","PW_77_015_N86",18.72093,0,0,"no bait","Artificial Lure",3000,1977-01-25,1,13:30:00,14:20:00,2,"N86","Central Sound","Percy_Washington",1.66666666666667
"264","PW_77_016_O85",0.142951444,0,0,"no bait","Artificial Lure",6900,1977-01-27,1,09:50:00,11:45:00,3,"O85","Central Sound","Percy_Washington",5.75
"265","PW_77_017_P83",23.184209,0,0,"no bait","Artificial Lure",4500,1977-01-27,1,13:30:00,14:45:00,3,"P83","Central Sound","Percy_Washington",3.75
"266","PW_77_018_T54",25.1347065,0,0,"no bait","Artificial Lure",1200,1977-02-14,2,12:30:00,12:50:00,2,"T54","Central Sound","Percy_Washington",0.666666666666667
"267","PW_77_019_Q57",51.35608673,0,0,"no bait","Artificial Lure",3000,1977-02-14,2,13:10:00,14:00:00,2,"Q57","Central Sound","Percy_Washington",1.66666666666667
"268","PW_77_020_P60",3.170530558,0,0,"no bait","Artificial Lure",1200,1977-02-14,2,14:05:00,14:25:00,2,"P60","Central Sound","Percy_Washington",0.666666666666667
"269","PW_77_021_L79",175.214279,0,0,"no bait","Artificial Lure",2100,1977-02-15,2,11:10:00,11:45:00,3,"L79","Central Sound","Percy_Washington",1.75
"270","PW_77_022_E65",79.652175,0,0,"no bait","Artificial Lure",8100,1977-02-18,2,11:15:00,13:30:00,3,"E65","Whidbey Island","Percy_Washington",6.75
"271","PW_77_023_H66",16.799999,0,0,"no bait","Artificial Lure",8400,1977-02-18,2,13:45:00,16:05:00,3,"H66","Central Sound","Percy_Washington",7
"272","PW_77_024_M93",81.153846,0,0,"no bait","Artificial Lure",3300,1977-02-24,2,14:05:00,15:00:00,3,"M93","Central Sound","Percy_Washington",2.75
"273","PW_77_025_N85",12,0,0,"no bait","Artificial Lure",3600,1977-03-11,3,09:30:00,10:30:00,3,"N85","Central Sound","Percy_Washington",3
"274","PW_77_026_O86",2,0,0,"no bait","Artificial Lure",3000,1977-03-11,3,10:40:00,11:30:00,3,"O86","Central Sound","Percy_Washington",2.5
"275","PW_77_027_N86",18.72093,0,0,"no bait","Artificial Lure",7200,1977-03-16,3,10:00:00,12:00:00,3,"N86","Central Sound","Percy_Washington",6
"276","1_Black_rocks_green_buoy",77.724,2,0,"squid","Hook only",1500,2014-04-09,4,15:21:00,15:46:00,3,"Black_rocks_green_buoy","San Juan Islands","ESA_Genetics",1.25
"277","1_flattop_island",64.2366,1,0,"squid","Hook only",3960,2014-04-09,4,08:48:00,09:54:00,3,"flattop_island","San Juan Islands","ESA_Genetics",3.3
"278","1_Parker_reef",60.0456,0,0,"squid","Hook only",1390.71428571429,2014-04-09,4,13:51:00,13:51:00,3,"Parker_reef","San Juan Islands","ESA_Genetics",1.15892857142857
"279","1_Peapod_rocks",51.054,0,0,"squid","Hook only",1080,2014-04-09,4,14:31:00,14:49:00,3,"Peapod_rocks","San Juan Islands","ESA_Genetics",0.9
"280","1_Point_Disney",62.484,0,0,"unknown","Hook only",1390.71428571429,2014-04-09,4,11:50:00,11:50:00,3,"Point_Disney","San Juan Islands","ESA_Genetics",1.15892857142857
"281","1_presidents_channel_south_waldron",76.8096,0,0,"squid","Hook only",1260,2014-04-09,4,10:57:00,11:18:00,3,"presidents_channel_south_waldron","San Juan Islands","ESA_Genetics",1.05
"282","1_skipjack_island",80.264,0,0,"squid","Hook only",660,2014-04-09,4,12:56:00,13:07:00,3,"skipjack_island","San Juan Islands","ESA_Genetics",0.55
"283","1_south_of_flattop",73.152,0,0,"squid","Hook only",1390.71428571429,2014-04-09,4,08:11:00,08:11:00,3,"south_of_flattop","San Juan Islands","ESA_Genetics",1.15892857142857
"284","10_North_of_Wahkitica_Creek",50.292,0,0,"no bait","Artificial Lure",1390.71428571429,2014-07-18,7,11:09:00,11:09:00,6,"North_of_Wahkitica_Creek","Hood Canal","ESA_Genetics",2.31785714285714
"285","10_Rocky_pinnacle_northeast_of_Triton_Head",62.484,0,0,"herring","Hook only",5040,2014-07-18,7,14:01:00,15:25:00,6,"Rocky_pinnacle_northeast_of_Triton_Head","Hood Canal","ESA_Genetics",8.4
"286","10_Tekiu_Point",57.912,0,0,"herring","Hook only",1390.71428571429,2014-07-18,7,13:43:00,13:43:00,6,"Tekiu_Point","Hood Canal","ESA_Genetics",2.31785714285714
"287","10_Triton_Head",29.2608,0,0,"no bait","Artificial Lure",3480,2014-07-18,7,11:29:00,12:27:00,6,"Triton_Head","Hood Canal","ESA_Genetics",5.8
"288","11_Meadow_Point",91.44,0,0,"herring","Hook only",1390.71428571429,2014-08-04,8,10:52:00,10:52:00,6,"Meadow_Point","Central Sound","ESA_Genetics",2.31785714285714
"289","11_Point_Monroe",87.7824,0,0,"herring","Hook only",1390.71428571429,2014-08-04,8,11:54:00,11:54:00,6,"Point_Monroe","Central Sound","ESA_Genetics",2.31785714285714
"290","11_Skiff_Point",57.912,0,0,"herring","Hook only",1390.71428571429,2014-08-04,8,12:35:00,12:35:00,6,"Skiff_Point","Central Sound","ESA_Genetics",2.31785714285714
"291","11_Spring_Beach",65.7239111111111,0,0,"herring","Hook only",5040,2014-08-04,8,09:02:00,10:26:00,6,"Spring_Beach","Central Sound","ESA_Genetics",8.4
"292","11_West_Point",65.9511,0,0,"herring","Hook only",5220,2014-08-04,8,13:12:00,14:39:00,6,"West_Point","Central Sound","ESA_Genetics",8.7
"293","16_Cattle_Pass",25.4846666666667,0,0,"no bait","Artificial Lure",7080,2014-08-26,8,12:03:00,14:01:00,3,"Cattle_Pass","San Juan Islands","ESA_Genetics",5.9
"294","16_Colville_Island",21.336,0,0,"no bait","Artificial Lure",1390.71428571429,2014-08-26,8,11:22:00,11:22:00,3,"Colville_Island","San Juan Islands","ESA_Genetics",1.15892857142857
"295","16_Colville_Island_buoy",49.7078,2,0,"no bait","Artificial Lure",4380,2014-08-26,8,09:47:00,11:00:00,3,"Colville_Island_buoy","San Juan Islands","ESA_Genetics",3.65
"296","16_James_Island",30.48,0,0,"no bait","Artificial Lure",1390.71428571429,2014-08-26,8,07:41:00,07:41:00,3,"James_Island","San Juan Islands","ESA_Genetics",1.15892857142857
"297","16_Williamson_Rocks_kelp",39.624,0,0,"no bait","Artificial Lure",1440,2014-08-26,8,14:05:00,14:29:00,3,"Williamson_Rocks_kelp","San Juan Islands","ESA_Genetics",1.2
"298","16_Young_Island",15.24,0,0,"no bait","Artificial Lure",1390.71428571429,2014-08-26,8,07:06:00,07:06:00,3,"Young_Island","San Juan Islands","ESA_Genetics",1.15892857142857
"299","17_Bell_Rock",40.17264,0,0,"no bait","Artificial Lure",1740,2014-08-28,8,07:18:00,07:47:00,3,"Bell_Rock","San Juan Islands","ESA_Genetics",1.45
"300","17_Bird_Rocks",35.814,1,0,"no bait","Artificial Lure",1980,2014-08-28,8,08:19:00,08:52:00,3,"Bird_Rocks","San Juan Islands","ESA_Genetics",1.65
"301","17_Cypress_Reef",31.2928,0,0,"no bait","Artificial Lure",960,2014-08-28,8,11:03:00,11:19:00,3,"Cypress_Reef","San Juan Islands","ESA_Genetics",0.8
"302","17_Deepwater_Bay",24.384,0,0,"no bait","Artificial Lure",1390.71428571429,2014-08-28,8,10:18:00,10:18:00,3,"Deepwater_Bay","San Juan Islands","ESA_Genetics",1.15892857142857
"303","17_East_Blakely",48.768,1,0,"no bait","Artificial Lure",1740,2014-08-28,8,13:48:00,14:17:00,3,"East_Blakely","San Juan Islands","ESA_Genetics",1.45
"304","17_Lawson_Reef",33.8328,0,0,"no bait","Artificial Lure",1390.71428571429,2014-08-28,8,09:20:00,09:20:00,3,"Lawson_Reef","San Juan Islands","ESA_Genetics",1.15892857142857
"305","17_Strawberry_Island",30.5816,0,0,"no bait","Artificial Lure",4020,2014-08-28,8,12:20:00,13:27:00,3,"Strawberry_Island","San Juan Islands","ESA_Genetics",3.35
"306","18_Lummi_rocks",49.657,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-09,9,00:00:00,00:00:00,3,"Lummi_rocks","San Juan Islands","ESA_Genetics",1.15892857142857
"307","18_Peapod_rocks",27.7803428571429,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-09,9,00:00:00,00:00:00,3,"Peapod_rocks","San Juan Islands","ESA_Genetics",1.15892857142857
"308","18_Point_Lawrence",52.6868571428571,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-09,9,00:00:00,00:00:00,3,"Point_Lawrence","San Juan Islands","ESA_Genetics",1.15892857142857
"309","19_Broken_Point",30.48,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-10,9,09:05:00,09:05:00,4,"Broken_Point","San Juan Islands","ESA_Genetics",1.5452380952381
"310","19_Cactus_Islands",82.7532,0,0,"no bait","Artificial Lure",9000,2014-09-10,9,10:06:00,12:36:00,4,"Cactus_Islands","San Juan Islands","ESA_Genetics",10
"311","19_flattop_island",46.482,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-10,9,13:15:00,13:15:00,4,"flattop_island","San Juan Islands","ESA_Genetics",1.5452380952381
"312","19_Sentinel_Island",76.2,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-10,9,09:51:00,09:51:00,4,"Sentinel_Island","San Juan Islands","ESA_Genetics",1.5452380952381
"313","2_Black_rocks_green_buoy",65.2740923076923,1,0,"squid","Hook only",3660,2014-04-10,4,14:33:00,15:34:00,3,"Black_rocks_green_buoy","San Juan Islands","ESA_Genetics",3.05
"314","2_flattop_island",64.1604,5,0,"squid","Hook only",5880,2014-04-10,4,11:24:00,13:02:00,3,"flattop_island","San Juan Islands","ESA_Genetics",4.9
"315","2_Point_Caution",90.3224,0,0,"squid","Hook only",1320,2014-04-10,4,10:11:00,10:33:00,3,"Point_Caution","San Juan Islands","ESA_Genetics",1.1
"316","2_Reid_Rocks",42.2148,0,0,"squid","Hook only",180,2014-04-10,4,09:53:00,09:56:00,3,"Reid_Rocks","San Juan Islands","ESA_Genetics",0.15
"317","2_Shark_reef,_San_Juan_Channel",54.7285333333333,0,0,"squid","Hook only",2580,2014-04-10,4,07:49:00,08:32:00,3,"Shark_reef,_San_Juan_Channel","San Juan Islands","ESA_Genetics",2.15
"318","2_Spieden_Island",42.672,0,0,"squid","Hook only",60,2014-04-10,4,11:01:00,11:02:00,3,"Spieden_Island","San Juan Islands","ESA_Genetics",0.05
"319","2_Turn_Island",63.3222,0,0,"squid","Hook only",120,2014-04-10,4,09:28:00,09:30:00,3,"Turn_Island","San Juan Islands","ESA_Genetics",0.1
"320","20_Ayres_Creek",74.9808,0,0,"no bait","Artificial Lure",1390.71428571429,2014-09-15,9,09:02:00,09:02:00,8,"Ayres_Creek","Hood Canal","ESA_Genetics",3.09047619047619
"321","20_Cougar_Point",58.0644,0,0,"herring","Hook only",1860,2014-09-15,9,10:19:00,10:50:00,8,"Cougar_Point","Hood Canal","ESA_Genetics",4.13333333333333
"322","20_Holiday_Bay",51.816,0,0,"herring","Hook only",240,2014-09-15,9,15:20:00,15:24:00,8,"Holiday_Bay","Hood Canal","ESA_Genetics",0.533333333333333
"323","20_Hoodsport",35.2044,0,0,"herring","Hook only",540,2014-09-15,9,15:59:00,16:08:00,8,"Hoodsport","Hood Canal","ESA_Genetics",1.2
"324","20_Lilliwaup",41.148,0,0,"herring","Hook only",60,2014-09-15,9,14:48:00,14:49:00,8,"Lilliwaup","Hood Canal","ESA_Genetics",0.133333333333333
"325","20_Little_Dewatto",58.58256,5,0,"herring","Hook only",1200,2014-09-15,9,13:40:00,14:00:00,8,"Little_Dewatto","Hood Canal","ESA_Genetics",2.66666666666667
"326","20_Musqueti_Point",98.4504,0,0,"herring","Hook only",1680,2014-09-15,9,09:29:00,09:57:00,8,"Musqueti_Point","Hood Canal","ESA_Genetics",3.73333333333333
"327","20_Potlatch",42.672,0,0,"herring","Hook only",120,2014-09-15,9,16:41:00,16:43:00,8,"Potlatch","Hood Canal","ESA_Genetics",0.266666666666667
